reserva_id,fecha_liquidacion,bin,ultimos_4,marca,importe_ars
R-1001,2026-07-06,589562,9275,AMEX,208800
R-1004,2026-06-30,450799,3639,AMEX,311400
R-1005,2026-07-28,451798,2162,VISA,209400
R-1006,2026-08-25,589562,7320,MASTERCARD,193400
R-1007,2026-08-16,589562,9555,VISA,202600
R-1008,2026-08-28,377874,2692,VISA,328800
R-1009,2026-06-26,450799,3672,AMEX,485000
R-1010,2026-08-28,451798,7675,AMEX,100100
R-1014,2026-07-07,377874,1167,MASTERCARD,490000
R-1015,2026-09-09,521212,3325,VISA,101200
R-1016,2026-08-03,450799,9825,MASTERCARD,96600
R-1017,2026-08-04,589562,1756,AMEX,195200
R-1019,2026-07-14,521212,9029,AMEX,188200
R-1020,2026-06-28,377874,4105,VISA,274800
R-1021,2026-09-03,589562,2201,AMEX,437600
R-1022,2026-08-11,589562,1408,VISA,208000
R-1024,2026-07-15,450799,7111,AMEX,231400
R-1025,2026-09-03,377874,7256,AMEX,511500
R-1028,2026-08-08,377874,9432,MASTERCARD,100400
R-1029,2026-07-07,451798,5597,AMEX,503000
R-1030,2026-07-08,533012,2226,AMEX,351600
R-1032,2026-07-09,589562,4073,MASTERCARD,214400
R-1033,2026-08-08,589562,2196,VISA,567000
R-1034,2026-08-12,513412,5419,VISA,437000
R-1035,2026-07-30,451798,5421,MASTERCARD,226000
R-1036,2026-06-21,456712,7691,VISA,103100
R-1037,2026-09-10,414720,7037,MASTERCARD,104000
R-1039,2026-09-03,377874,5344,AMEX,475500
R-1040,2026-06-20,533012,8372,AMEX,464400
R-1041,2026-08-03,377874,1430,AMEX,461500
R-1042,2026-07-13,377874,7951,AMEX,422800
R-1043,2026-09-05,438935,8516,VISA,177600
R-1044,2026-06-21,451798,3331,MASTERCARD,364400
R-1045,2026-06-18,540012,1900,VISA,104200
R-1046,2026-08-04,589562,5202,VISA,462000
R-1049,2026-09-04,451798,9562,MASTERCARD,101200
R-1050,2026-06-15,589562,9371,VISA,110300
R-1051,2026-07-15,552031,7583,MASTERCARD,350700
R-1052,2026-09-05,545612,2421,MASTERCARD,283200
R-1053,2026-08-15,451798,4307,VISA,91700
R-1054,2026-06-17,450799,3030,VISA,291600
R-1055,2026-07-12,450799,9526,AMEX,295200
R-1058,2026-07-19,545612,2891,MASTERCARD,350800
R-1060,2026-09-08,589562,8759,VISA,315000
R-1061,2026-08-28,589562,4280,VISA,543000
R-1062,2026-06-18,589562,7150,VISA,102700
R-1063,2026-07-21,377874,2286,VISA,261300
R-1064,2026-07-17,451798,5471,MASTERCARD,340200
R-1066,2026-08-18,589562,7329,VISA,263100
R-1067,2026-07-03,497010,5846,AMEX,287400
R-1069,2026-06-16,377874,6652,AMEX,273900
R-1071,2026-07-08,521212,6283,AMEX,338400
R-1072,2026-07-07,589562,7490,MASTERCARD,305100
R-1073,2026-07-24,545612,8603,MASTERCARD,404000
R-1080,2026-08-24,451798,8743,MASTERCARD,424400
R-1081,2026-08-21,377874,7885,VISA,448800
R-1082,2026-09-06,451798,8881,MASTERCARD,586000
R-1083,2026-08-31,450799,4329,AMEX,315000
R-1084,2026-07-07,451798,3951,MASTERCARD,322800
R-1085,2026-07-08,377874,5639,AMEX,115100
R-1086,2026-07-13,589562,3630,VISA,101500
R-1087,2026-07-07,471589,3985,VISA,107500
R-1091,2026-08-07,552031,2454,MASTERCARD,444400
R-1092,2026-06-27,377874,4985,AMEX,190800
R-1093,2026-06-23,545612,6610,VISA,358400
R-1095,2026-06-24,377874,3286,VISA,337800
R-1096,2026-08-25,589562,3378,VISA,374400
R-1097,2026-09-02,455708,6470,AMEX,225600
R-1098,2026-08-05,492181,5004,MASTERCARD,348000
R-1101,2026-07-21,454181,1598,MASTERCARD,365600
R-1102,2026-08-21,450799,9589,MASTERCARD,450400
R-1103,2026-08-02,377874,1009,VISA,198400
R-1104,2026-08-16,471589,3955,MASTERCARD,293700
R-1105,2026-06-19,451798,1833,VISA,106400
R-1106,2026-07-02,377874,4006,MASTERCARD,300000
R-1107,2026-08-23,589562,6554,VISA,99300
R-1108,2026-08-23,530312,8137,AMEX,103400
R-1109,2026-09-05,379141,3041,MASTERCARD,184000
R-1115,2026-07-27,377874,2184,VISA,250800
R-1116,2026-07-11,454181,9036,MASTERCARD,197600
R-1117,2026-08-31,552031,6650,VISA,107700
R-1121,2026-09-06,450799,7021,VISA,297600
R-1123,2026-08-10,451798,8310,AMEX,174200
R-1124,2026-06-30,450799,5529,VISA,188000
R-1125,2026-07-12,456712,7803,VISA,183200
R-1126,2026-09-09,379141,8287,MASTERCARD,494000
R-1128,2026-07-10,377874,6414,AMEX,89300
R-1129,2026-08-20,589562,8468,VISA,349800
R-1130,2026-08-08,451798,4345,VISA,95200
R-1132,2026-06-20,589562,8471,VISA,454000
R-1133,2026-08-19,491667,3114,VISA,315600
R-1135,2026-07-18,542418,7086,VISA,410800
R-1136,2026-08-31,589562,4626,VISA,318600
R-1138,2026-09-01,451798,4273,AMEX,471500
R-1139,2026-08-31,450799,1318,VISA,358400
R-1140,2026-07-26,589562,9892,VISA,170600
R-1141,2026-06-27,438935,3430,VISA,98400
R-1144,2026-09-08,377874,9081,VISA,414000
R-1145,2026-07-02,451798,9923,VISA,91900
R-1149,2026-08-21,450799,4002,VISA,184200
R-1150,2026-06-17,530312,2034,MASTERCARD,99300
R-1152,2026-07-03,451798,3568,VISA,283500
R-1156,2026-08-13,533012,2880,VISA,217000
R-1157,2026-07-19,377874,2332,VISA,85100
R-1160,2026-08-31,540012,4581,AMEX,319800
R-1161,2026-07-04,589562,4988,MASTERCARD,721700
R-1162,2026-08-11,451798,6868,MASTERCARD,216800
R-1163,2026-08-28,451798,4637,AMEX,193800
R-1165,2026-08-10,589562,2665,AMEX,102700
R-1166,2026-07-28,377874,8294,VISA,296100
R-1167,2026-06-30,516292,4356,AMEX,307200
R-1168,2026-07-18,377874,6437,VISA,313800
R-1170,2026-07-25,450799,9879,VISA,536500
R-1171,2026-08-08,451798,8490,AMEX,91500
R-1173,2026-06-16,377874,3305,AMEX,210800
R-1174,2026-07-26,414720,2602,MASTERCARD,394800
R-1178,2026-08-17,451798,3954,AMEX,812700
R-1179,2026-07-25,450799,7983,AMEX,303600
R-1180,2026-08-11,451798,1366,MASTERCARD,428500
R-1181,2026-08-05,589562,8388,MASTERCARD,324900
R-1182,2026-07-31,450799,4278,AMEX,172800
R-1183,2026-08-13,450799,6786,AMEX,322500
R-1186,2026-07-14,377874,5619,VISA,188000
R-1189,2026-06-26,589562,1588,AMEX,209400
R-1191,2026-07-17,377874,5332,AMEX,396800
R-1192,2026-08-25,450799,2510,VISA,192000
R-1194,2026-08-07,533012,3070,MASTERCARD,630700
R-1197,2026-09-02,450799,7989,AMEX,204400
R-1198,2026-07-06,450799,3443,VISA,409200
R-1200,2026-08-27,450799,4426,MASTERCARD,484500
R-1201,2026-08-30,450799,8533,AMEX,171000
R-1202,2026-06-22,377874,9126,VISA,277800
R-1203,2026-08-03,589562,6990,VISA,199000
R-1204,2026-07-19,516292,9087,VISA,202400
R-1205,2026-07-07,589562,1350,AMEX,198400
R-1208,2026-08-11,377874,9965,AMEX,99500
R-1211,2026-06-27,545612,8722,VISA,91500
R-1212,2026-07-05,589562,9246,MASTERCARD,98200
R-1214,2026-06-29,450799,9078,AMEX,311700
R-1215,2026-07-09,450799,2652,AMEX,343800
R-1216,2026-08-24,450799,3107,AMEX,104300
R-1218,2026-07-09,451798,2204,AMEX,89700
R-1219,2026-08-31,377874,7138,MASTERCARD,819000
R-1220,2026-09-11,377874,9237,AMEX,169400
R-1221,2026-07-02,450799,8397,MASTERCARD,712600
R-1224,2026-08-30,377874,6766,VISA,96800
R-1225,2026-08-25,451798,2294,VISA,348400
R-1227,2026-07-09,377874,3216,VISA,410400
R-1232,2026-06-19,451798,6793,VISA,183200
R-1233,2026-08-18,377874,8655,AMEX,289800
R-1236,2026-07-10,589562,8888,MASTERCARD,197200
R-1237,2026-06-18,377874,8445,AMEX,317700
R-1239,2026-08-16,589562,7837,AMEX,420000
R-1240,2026-06-20,438935,6829,AMEX,318900
R-1241,2026-07-07,589562,7194,VISA,200800
R-1242,2026-08-28,450799,4629,AMEX,94400
R-1243,2026-07-11,589562,6493,AMEX,280800
R-1244,2026-07-15,450799,6186,VISA,429600
R-1245,2026-07-01,450799,5055,VISA,340200
R-1246,2026-08-03,516292,5118,VISA,216200
R-1247,2026-08-17,377874,9345,AMEX,99300
R-1248,2026-09-10,589562,2820,AMEX,373200
R-1249,2026-08-27,377874,7241,MASTERCARD,189000
R-1250,2026-08-02,451798,6603,MASTERCARD,337600
R-1251,2026-08-20,377874,1736,MASTERCARD,413200
R-1252,2026-07-22,438935,9163,MASTERCARD,392000
R-1253,2026-07-05,451798,4115,VISA,208200
R-1254,2026-08-05,589562,9443,VISA,419000
R-1256,2026-09-04,589562,6420,MASTERCARD,184600
R-1257,2026-07-20,377874,1270,VISA,376400
R-1258,2026-07-22,589562,9793,AMEX,230000
R-1259,2026-08-25,450799,7312,AMEX,215800
R-1261,2026-09-01,450799,8755,VISA,93600
R-1262,2026-08-31,451798,2524,MASTERCARD,257700
R-1263,2026-08-25,450799,2705,AMEX,103400
R-1264,2026-07-07,589562,3397,AMEX,212400
R-1265,2026-07-05,451798,2281,MASTERCARD,820400
R-1266,2026-07-31,589562,4966,AMEX,322800
R-1267,2026-07-10,589562,8872,MASTERCARD,94900
R-1269,2026-08-06,450799,2436,VISA,518500
R-1270,2026-09-12,542418,3160,AMEX,292500
R-1274,2026-07-29,450799,7187,AMEX,107600
R-1275,2026-08-17,589562,5557,AMEX,414000
R-1276,2026-08-13,451798,1402,AMEX,508000
R-1278,2026-09-07,377874,4279,AMEX,196200
R-1279,2026-08-17,455708,5609,AMEX,264000
R-1281,2026-07-30,451798,7347,MASTERCARD,91500
R-1282,2026-07-07,377874,2768,AMEX,202200
R-1284,2026-08-14,450799,5987,VISA,209400
R-1285,2026-07-26,451798,1040,AMEX,288000
R-1286,2026-08-29,589562,8909,AMEX,592200
R-1289,2026-06-24,542418,9687,MASTERCARD,304800
R-1290,2026-07-23,377874,4250,AMEX,400800
R-1292,2026-08-04,542418,1916,AMEX,95800
R-1293,2026-07-02,377874,1492,AMEX,99300
R-1294,2026-09-10,377874,9455,AMEX,97100
R-1295,2026-08-22,589562,1168,VISA,184800
R-1299,2026-07-18,377874,9655,MASTERCARD,105500
R-1301,2026-06-29,414720,5369,VISA,285900
R-1302,2026-06-17,377874,1204,AMEX,109900
R-1305,2026-09-07,450799,4819,AMEX,209600
R-1306,2026-08-08,451798,4630,AMEX,87200
R-1307,2026-06-29,450799,4292,VISA,697900
R-1310,2026-07-22,377874,4690,VISA,194400
R-1312,2026-09-07,377874,6371,MASTERCARD,392400
R-1314,2026-06-27,451798,9694,MASTERCARD,471500
R-1316,2026-08-29,451798,1796,VISA,464800
R-1319,2026-09-09,516292,3689,MASTERCARD,111600
R-1320,2026-06-21,521212,5653,VISA,91300
R-1321,2026-07-08,451798,8459,MASTERCARD,225000
R-1322,2026-07-04,377874,7974,MASTERCARD,711900
R-1326,2026-08-03,450799,6367,VISA,117200
R-1327,2026-07-31,450799,8923,AMEX,95900
R-1328,2026-08-22,589562,3464,MASTERCARD,94600
R-1329,2026-09-10,377874,2681,AMEX,221200
R-1331,2026-08-06,471589,5399,VISA,697900
R-1332,2026-08-18,547034,6799,MASTERCARD,111300
R-1333,2026-08-15,589562,7471,MASTERCARD,424800
R-1335,2026-08-25,589562,1079,VISA,472500
R-1336,2026-07-03,451798,1080,AMEX,303300
R-1337,2026-06-27,542418,8091,VISA,458000
R-1338,2026-08-01,589562,9933,AMEX,181800
R-1339,2026-07-15,450799,1518,MASTERCARD,208200
R-1340,2026-07-17,589562,4176,AMEX,86600
R-1341,2026-06-18,455708,2333,VISA,104800
R-1342,2026-07-29,377874,5117,VISA,347400
R-1343,2026-06-18,589562,9745,MASTERCARD,305100
R-1344,2026-08-06,377874,2967,VISA,190800
R-1345,2026-07-22,377874,2355,MASTERCARD,361200
R-1348,2026-07-20,438935,8039,AMEX,116600
R-1349,2026-09-08,451798,5403,VISA,235600
R-1353,2026-08-20,450799,1354,MASTERCARD,445600
R-1355,2026-09-12,450799,9185,AMEX,536000
R-1357,2026-07-29,450799,1147,MASTERCARD,95200
R-1359,2026-09-05,377874,7814,VISA,198200
R-1360,2026-06-24,589562,2891,AMEX,308400
R-1361,2026-09-02,533012,7697,AMEX,109500
R-1362,2026-06-16,451798,8023,VISA,281100
R-1364,2026-08-02,451798,1385,MASTERCARD,203200
R-1365,2026-08-15,450799,8595,VISA,310200
R-1366,2026-08-23,377874,8577,MASTERCARD,344400
R-1370,2026-07-10,379141,5463,MASTERCARD,296400
R-1371,2026-07-04,589562,3939,AMEX,483500
R-1372,2026-07-27,552031,2528,MASTERCARD,111400
R-1376,2026-07-26,450799,5239,AMEX,211200
R-1377,2026-08-10,377874,7778,AMEX,106500
R-1380,2026-07-29,456712,1982,MASTERCARD,233400
R-1381,2026-07-27,589562,5347,VISA,262500
R-1382,2026-07-25,377874,5260,VISA,194600
R-1384,2026-07-30,450799,7852,MASTERCARD,450800
R-1386,2026-06-26,589562,8959,AMEX,192800
R-1387,2026-07-14,589562,2545,VISA,521000
R-1388,2026-06-27,451798,8184,MASTERCARD,313500
R-1390,2026-08-27,377874,9580,MASTERCARD,295500
R-1393,2026-06-20,589562,8996,MASTERCARD,593600
R-1394,2026-08-13,450799,1361,VISA,84000
R-1398,2026-08-03,542418,7468,VISA,101300
R-1399,2026-08-11,533012,5285,AMEX,235600
R-1400,2026-08-21,455708,1568,VISA,89300
R-1401,2026-07-12,450799,9962,VISA,530000
R-1402,2026-08-05,377874,1129,MASTERCARD,195800
R-1403,2026-06-27,377874,8757,MASTERCARD,92900
R-1404,2026-07-01,513412,1973,VISA,510500
R-1406,2026-07-22,589562,4277,MASTERCARD,345200
R-1410,2026-09-04,589562,6451,MASTERCARD,100000
R-1413,2026-07-06,589562,2982,AMEX,100400
R-1416,2026-08-11,491667,2046,AMEX,231000
R-1417,2026-08-31,589562,9242,VISA,663600
R-1418,2026-08-09,451798,6400,VISA,192000
R-1419,2026-07-07,377874,5541,VISA,204800
R-1421,2026-07-13,377874,8872,MASTERCARD,214800
R-1424,2026-08-17,377874,4083,MASTERCARD,187000
