reserva_id,huesped,pais_residencia_declarado,documento_tipo,documento_en_legajo,canal,check_in,check_out,noches,tarifa_noche_ars,total_alojamiento_ars,desayuno_incluido,consumos_extra_ars,medio_pago,comprobante_clase
R-1001,G. Ferrari,AR,DNI,si,Telefono/WhatsApp,2026-07-02,2026-07-04,2,104400,208800,si,0,tarjeta,B
R-1002,P. Dubois,AR,DNI,si,Directo web,2026-07-11,2026-07-15,4,103700,414800,si,0,transferencia_local,B
R-1003,E. Blanco,DE,Pasaporte,si,Walk-in,2026-09-07,2026-09-08,1,98800,98800,si,15200,transferencia_exterior,T
R-1004,M. Silva,AR,DNI,si,Booking.com,2026-06-25,2026-06-28,3,103800,311400,si,4500,tarjeta,B
R-1005,C. Rossi,AR,DNI,si,Booking.com,2026-07-24,2026-07-26,2,104700,209400,si,0,tarjeta,B
R-1006,V. Romero,AR,DNI,si,Booking.com,2026-08-21,2026-08-23,2,96700,193400,si,9800,tarjeta,B
R-1007,A. Costa,AR,DNI,si,Booking.com,2026-08-12,2026-08-14,2,101300,202600,si,9800,tarjeta,B
R-1008,N. Garcia,US,Pasaporte,no,Expedia,2026-08-23,2026-08-26,3,109600,328800,si,0,tarjeta,B
R-1009,P. Dubois,AR,DNI,si,Walk-in,2026-06-19,2026-06-24,5,97000,485000,si,4500,tarjeta,B
R-1010,A. Costa,AR,DNI,si,Despegar,2026-08-25,2026-08-26,1,100100,100100,si,4500,tarjeta,B
R-1011,P. Dubois,AR,DNI,si,Booking.com,2026-08-11,2026-08-12,1,99900,99900,si,0,efectivo_ars,B
R-1012,E. Blanco,AR,DNI,si,Telefono/WhatsApp,2026-07-31,2026-08-01,1,117400,117400,si,0,transferencia_local,B
R-1013,K. Novak,UY,Pasaporte,no,Despegar,2026-07-13,2026-07-14,1,95400,95400,si,22000,transferencia_exterior,A
R-1014,L. Fernandez,CL,Pasaporte,no,Walk-in,2026-06-30,2026-07-05,5,98000,490000,si,22000,tarjeta,B
R-1015,L. Fernandez,CO,Pasaporte,si,Booking.com,2026-09-06,2026-09-07,1,101200,101200,si,0,tarjeta,T
R-1016,L. Fernandez,AR,DNI,si,Telefono/WhatsApp,2026-07-31,2026-08-01,1,96600,96600,si,0,tarjeta,B
R-1017,I. Petrov,AR,DNI,si,Expedia,2026-07-31,2026-08-02,2,97600,195200,si,22000,tarjeta,B
R-1018,O. Ahmed,MX,Pasaporte,si,Booking.com,2026-08-14,2026-08-19,5,93300,466500,si,0,efectivo_ars,B
R-1019,G. Ferrari,CO,Pasaporte,no,Expedia,2026-07-10,2026-07-12,2,94100,188200,si,22000,tarjeta,B
R-1020,B. Lindqvist,AR,DNI,si,Despegar,2026-06-23,2026-06-26,3,91600,274800,si,9800,tarjeta,B
